Genesis	Gen	1
Exodus	Exo	2
Leviticus	Lev	3
Numbers	Num	4
Deuteronomy	Deu	5
Joshua	Jos	6
Judges	Jdg	7
Ruth	Rut	8
1 Samuel	1Sa	9
2 Samuel	2Sa	10
1 Kings	1Ki	11
2 Kings	2Ki	12
1 Chronicles	1Ch	13
2 Chronicles	2Ch	14
Ezra	Ezr	15
Nehemiah	Neh	16
Judith	Jdt	17
Esther	Est	18
Tobit	Tob	19
1 Maccabees	1Ma	20
2 Maccabees	2Ma	21
Job	Job	22
Psalms	Psa	23
Proverbs	Pro	24
Ecclesiastes	Ecc	25
Song of Solomon	Sol	26
Wisdom	Wis	27
Sirach	Sir	28
Isaiah	Isa	29
Jeremiah	Jer	30
Lamentations	Lam	31
Baruch	Bar	32
Ezekiel	Eze	33
Daniel	Dan	34
Hosea	Hos	35
Joel	Joe	36
Amos	Amo	37
Obadiah	Oba	38
Jonah	Jon	39
Micah	Mic	40
Nahum	Nah	41
Habakkuk	Hab	42
Zephaniah	Zep	43
Haggai	Hag	44
Zechariah	Zec	45
Malachi	Mal	46
Matthew	Mat	47
Mark	Mar	48
Luke	Luk	49
John	Joh	50
Acts	Act	51
Romans	Rom	52
1 Corinthians	1Co	53
2 Corinthians	2Co	54
Galatians	Gal	55
Ephesians	Eph	56
Philippians	Phi	57
Colossians	Col	58
1 Thessalonians	1Th	59
2 Thessalonians	2Th	60
1 Timothy	1Ti	61
2 Timothy	2Ti	62
Titus	Tit	63
Philemon	Phm	64
Hebrews	Heb	65
James	Jam	66
1 Peter	1Pe	67
2 Peter	1Pe	68
1 John	1Jo	69
2 John	2Jo	70
3 John	3Jo	71
Jude	Jud	72
Revelations	Rev	73
